chembl	schembl_id	name
CHEMBL395732	SCHEMBL5629105	CHEMBL395732
CHEMBL233240	SCHEMBL5629245	CHEMBL233240
CHEMBL233239	SCHEMBL5629515	CHEMBL233239
CHEMBL233238	SCHEMBL5628840	CHEMBL233238
CHEMBL397192	SCHEMBL5629564	2-Chloro-N-{1-[2-(4-hydroxypiperidin-1-yl)-2-oxoethyl]-2-oxo-1,2,3,4-tetrahydroquinolin-3-yl}-6H-thieno[2,3-b]pyrrole-5-carboxamide
CHEMBL233035	SCHEMBL5629434	CHEMBL233035
CHEMBL233034	SCHEMBL5630014	CHEMBL233034
CHEMBL233033	SCHEMBL5631837	CHEMBL233033
CHEMBL232830	SCHEMBL5630099	CHEMBL232830
CHEMBL232829	SCHEMBL5630171	CHEMBL232829
CHEMBL395955	SCHEMBL5628906	CHEMBL395955
CHEMBL232628	SCHEMBL5642732	CHEMBL232628
CHEMBL232627	SCHEMBL5631563	CHEMBL232627
CHEMBL395708	SCHEMBL5629167	CHEMBL395708
CHEMBL232626	SCHEMBL5630164	CHEMBL232626
CHEMBL232433	SCHEMBL5631854	CHEMBL232433
CHEMBL395707	SCHEMBL5630427	CHEMBL395707
CHEMBL232432	SCHEMBL5630010	CHEMBL232432
CHEMBL390701	SCHEMBL5629893	CHEMBL390701
CHEMBL511305	SCHEMBL5192329	CHEMBL511305
CHEMBL471372	SCHEMBL5195423	CHEMBL471372
CHEMBL469700	SCHEMBL5196813	CHEMBL469700
CHEMBL459858	SCHEMBL5196068	CHEMBL459858
CHEMBL516945	SCHEMBL5192415	CHEMBL516945
CHEMBL461500	SCHEMBL5192256	CHEMBL461500
CHEMBL453580	SCHEMBL5192069	CHEMBL453580
CHEMBL460064	SCHEMBL5197126	CHEMBL460064
CHEMBL452277	SCHEMBL5192921	CHEMBL452277
CHEMBL452276	SCHEMBL5419232	CHEMBL452276
CHEMBL452026	SCHEMBL5196599	CHEMBL452026
CHEMBL453049	SCHEMBL5195531	CHEMBL453049
CHEMBL452792	SCHEMBL5192695	CHEMBL452792
CHEMBL507504	SCHEMBL5413924	CHEMBL507504
CHEMBL453312	SCHEMBL5421219	CHEMBL453312
CHEMBL453311	SCHEMBL5194308	CHEMBL453311
CHEMBL480195	SCHEMBL5193066	CHEMBL480195
CHEMBL512527	SCHEMBL5194739	CHEMBL512527
CHEMBL472140	SCHEMBL5195128	CHEMBL472140
CHEMBL513400	SCHEMBL5192041	CHEMBL513400
CHEMBL480764	SCHEMBL5196920	CHEMBL480764
CHEMBL473421	SCHEMBL5196501	CHEMBL473421
CHEMBL473422	SCHEMBL5420725	CHEMBL473422
CHEMBL475449	SCHEMBL5415352	CHEMBL475449
CHEMBL482146	SCHEMBL5411355	2-Cyclohexyl-N-[(3-{[(2,4,6-Trimethylphenyl)carbamoyl]amino}naphthalen-2-Yl)carbonyl]-D-Alanine
CHEMBL472319	SCHEMBL5192159	CHEMBL472319
CHEMBL480367	SCHEMBL5194373	CHEMBL480367
CHEMBL480368	SCHEMBL5195878	CHEMBL480368
CHEMBL481507	SCHEMBL5196525	CHEMBL481507
CHEMBL481363	SCHEMBL5192698	CHEMBL481363
CHEMBL481534	SCHEMBL5195881	CHEMBL481534
CHEMBL481535	SCHEMBL5191932	CHEMBL481535
CHEMBL519787	SCHEMBL5192875	CHEMBL519787
CHEMBL481887	SCHEMBL5192016	CHEMBL481887
CHEMBL520765	SCHEMBL5193110	CHEMBL520765
CHEMBL473851	SCHEMBL5196575	CHEMBL473851
