name	harmonized_name
BLUEPRINT MEDICINES CORP	Blueprint Medicines
BOARD OF REGENTS OF THE UNIVERISTY OF TEXAS SYSTEM	University of Texas System
BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS THE	University of Illinois
BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS, THE	University of Illinois
BOEHRINGER INGELHEIM ANIMAL HEALTH USA INC	Boehringer Ingelheim
BOEHRINGER INGELHEIM CHEMICALS	Boehringer Ingelheim
BOEHRINGER INGELHEIM INT	Boehringer Ingelheim
BOEHRINGER INGELHEIM PHARMA	Boehringer Ingelheim
BOEHRINGER INGELHEIM PHARMA KG	Boehringer Ingelheim
BOEHRINGER INGELHEIM PHARMACEUTICALS, INC.	Boehringer Ingelheim
BOERHRINGER INGELHEIM PHARMACEUTICALS INC	Boehringer Ingelheim
BOOTS COMPANY PLC, THE	Boots
BOREALIS AG	Borealis
BRACCO IMAGING SPA	Bracco
BRIDGESTONE CORP	Bridgestone
BRIGHAM & WOMENS HOSPITAL	Brigham and Women's Hospital
BRIGHAM & WOMENS HOSPITAL INC	Brigham and Women's Hospital
BRISTOL MEYERS SQUIBB CO	Bristol Myers Squibb
BRISTOL MYERS SQUIBB	Bristol Myers Squibb
BRISTOL MYERS SQUIBB CO	Bristol Myers Squibb
BRISTOL MYERS SQUIBB PHARMA CO	Bristol Myers Squibb
BRISTOL MYERS SUIBB PHARMA COM	Bristol Myers Squibb
BRISTOL-MYERS SQUIBB COMPANY	Bristol Myers Squibb
BRISTOL-MYERS SQUIBB COMPANY (FORMERLY D/B/A DUPONT PHARMACEUTICALS COMPANY)	Bristol Myers Squibb
BRISTOL-MYERS SQUIBB PHARMA COMPANY	Bristol Myers Squibb
BRITISH BIOTECH PHARM	British Biotech
BRITISH COLUMBIA CANCER AGENCY	BC Cancer
BRITISH COLUMBIA CANCER AGENCY BRANCH	BC Cancer
BROAD INST INC	Broad Institute
BUCK INST FOR RES ON AGING	Buck Institute for Research on Aging
BUNGE OILS INC	Bunge
Bayer Pharma AG	Bayer
C3 BIO GMBH	BIO-C3
C4 THERAPEUTICS INC	C4 Therapeutics
CADILA HEALTHCARE LTD	Cadila Pharmaceuticals
CADILA PHARMACEUTICALS LTD	Cadila Pharmaceuticals
CALIFORNIA INST OF TECHN	California Institute of Technology
CALITOR SCIENCES LLC	Calitor Sciences LLC
CALYX CHEMICALS AND PHARMACEUTICALS PVT LTD	CALYX
CAMBREX CHARLES CITY INC	Cambrex
CAMBRIDGE COGNITION LTD	Cambridge Cognition
CAMBRIDGE ENTPR LTD	Cambridge Enterprise
CAMBRIDGE NEUROSCIENCE INC	Cambridge Neuroscience
CAMBRIDGE NEUROSCIENCES INC	Cambridge Neuroscience
CAMP4 THERAPEUTICS CORP	CAMP4 Therapeutics
CANCER RES CAMPAIGN TECH	Cancer Research Horizons
CANCER RES TECHNOLOGY	Cancer Research Technology
